Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,computedAHZ
90262,69745,27.8,33919,35826,14669,4.57,4.754584497920785
90263,1612,19.7,665,947,0,0.0,inf
90265,18116,46.5,9159,8957,7174,2.39,2.525229997212155
90266,35135,40.9,17605,17530,14038,2.5,2.502849408747685
90270,27372,27.9,13992,13380,6554,4.16,4.176380836130607
90272,22986,47.3,10952,12034,9212,2.49,2.495223621363439
90274,25209,49.4,12199,13010,9479,2.66,2.6594577487076694
90275,41804,47.8,20283,21521,15618,2.65,2.6766551415033937
90277,35293,42.0,17521,17772,16910,2.07,2.0871082199881728
90278,40071,38.2,19848,20223,16009,2.49,2.5030295458804424
90280,94396,29.4,46321,48075,23278,4.05,4.055159377953433
90290,6368,45.0,3180,3188,2612,2.44,2.437978560490046
90291,28341,37.6,14757,13584,14261,1.95,1.9873080429142416
90292,21576,41.2,10729,10847,12654,1.7,1.7050734945471788
90293,12132,40.4,5890,6242,6575,1.83,1.845171102661597
90301,36568,32.6,17633,18935,11895,3.01,3.0742328709541824
90302,29415,32.8,13803,15612,10684,2.74,2.7531823287158366
90303,26176,30.4,12733,13443,7290,3.58,3.5906721536351167
90304,28210,28.1,14503,13707,6634,4.22,4.252336448598131
90305,14853,43.3,6552,8301,5933,2.46,2.5034552502949605
90401,6722,37.8,3524,3198,4188,1.49,1.6050620821394461
90402,12250,47.0,5809,6441,5301,2.31,2.3108847387285416
90403,24525,40.8,11426,13099,13970,1.74,1.7555476020042948
90404,21360,37.4,10292,11068,10089,2.01,2.1171573000297355
90405,27186,40.8,13364,13822,14376,1.87,1.891068447412354
90501,43180,35.0,21483,21697,14610,2.94,2.9555099247091032
90502,18010,40.2,8811,9199,5717,2.94,3.150253629525975
90503,44383,40.8,21481,22902,17183,2.55,2.5829599022289473
90504,32102,40.3,15886,16216,11580,2.76,2.7721934369602765
90505,36678,43.0,17684,18994,14244,2.55,2.574978938500421
90506,0,0.0,0,0,0,0.0,
90601,31974,36.6,15312,16662,11027,2.89,2.899610048063843
90602,25777,30.9,12720,13057,7980,3.09,3.2302005012531327
90603,20063,39.4,9694,10369,6788,2.93,2.9556570418385384
90604,39407,34.1,19270,20137,11932,3.29,3.3026315789473686
90605,40331,32.6,20033,20298,10527,3.81,3.831195972261803
90606,32396,33.5,15936,16460,8633,3.72,3.752577319587629
90621,35153,32.1,17377,17776,10304,3.38,3.4115877329192545
90623,15554,41.2,7516,8038,5072,3.06,3.066640378548896
90630,47993,40.0,23204,24789,15785,3.02,3.040418118466899
90631,67619,34.8,33320,34299,21452,3.13,3.1521070296475853
90638,49012,37.9,23520,25492,14821,3.11,3.306929356993455
90640,62549,34.7,30189,32360,19027,3.27,3.2873810900299576
90650,105549,32.5,52364,53185,27130,3.83,3.8904902322152597
90660,62928,34.0,30738,32190,16564,3.77,3.799082347259116
90670,14866,36.2,7163,7703,4393,3.34,3.3840200318688822
90701,16591,38.2,8227,8364,4553,3.51,3.64397100812651
90703,49399,43.9,23785,25614,15604,3.16,3.1657908228659317
90704,4090,37.2,2101,1989,1629,2.5,2.510742786985881
90706,76615,31.9,37203,39412,23650,3.21,3.23953488372093
90710,25457,36.7,12291,13166,8717,2.91,2.9203854537111393
90712,31499,38.4,15277,16222,10794,2.91,2.918195293681675
90713,27925,39.0,13574,14351,9447,2.95,2.955964856568223
90715,20388,33.9,9935,10453,6105,3.33,3.3395577395577396
90716,14184,28.3,7078,7106,3515,4.03,4.035277382645804
90717,21318,39.5,10317,11001,8520,2.48,2.502112676056338
90720,21751,41.7,10423,11328,7789,2.74,2.792527923995378
90723,54099,28.6,26315,27784,13882,3.87,3.897060942227345
90731,59662,35.6,29951,29711,22044,2.62,2.7064960987116677
90732,21115,45.0,9843,11272,8611,2.38,2.4520961560794334
90740,23729,57.5,10423,13306,12830,1.83,1.8494933749025722
90744,53815,28.7,27298,26517,13999,3.83,3.8442031573683835
90745,57251,37.1,27754,29497,15210,3.73,3.7640368178829715
90746,25990,40.7,11944,14046,8050,3.14,3.2285714285714286
90747,0,0.0,0,0,0,0.0,
90755,11074,36.1,5462,5612,4172,2.64,2.6543624161073827
90802,39347,34.7,20387,18960,19853,1.93,1.9819170906160277
90803,32031,42.7,15609,16422,17318,1.84,1.8495784732648113
90804,40311,29.8,19686,20625,14556,2.7,2.769373454245672
90805,93524,29.0,45229,48295,26056,3.56,3.5893460239484187
90806,42399,30.3,20717,21682,12184,3.44,3.4798916611950097
90807,31481,39.7,15153,16328,12452,2.49,2.5281882428525537
90808,38232,41.6,18408,19824,14167,2.69,2.698665913743206
90810,36735,31.8,18067,18668,9289,3.9,3.9546775756270858
90813,58911,27.3,29425,29486,16425,3.5,3.5866666666666664
90814,19131,37.2,9356,9775,9170,2.06,2.0862595419847327
90815,39733,37.9,19124,20609,14836,2.53,2.6781477487193315
90822,117,63.9,109,8,2,4.5,58.5
90831,0,0.0,0,0,0,0.0,
91001,36126,41.6,17421,18705,12663,2.83,2.8528784648187635
91006,31715,42.7,15283,16432,10652,2.98,2.9773751408186255
91007,34095,43.8,16039,18056,12033,2.73,2.8334579905260533
91008,1391,54.6,614,777,562,2.39,2.4750889679715304
91010,26074,38.1,12461,13613,7972,3.2,3.270697441043653
91011,20280,45.9,9863,10417,6859,2.95,2.9566992272926083
91016,40598,37.9,19434,21164,15029,2.69,2.701310799121698
91020,8415,40.2,3966,4449,3385,2.43,2.485967503692762
91024,10917,46.6,5165,5752,4837,2.26,2.2569774653710977
91030,25616,40.1,12160,13456,10466,2.43,2.447544429581502
91040,20372,43.3,10120,10252,7359,2.72,2.7683109118086695
91042,27585,40.7,13734,13851,9987,2.74,2.7620907179333134
91046,156,74.0,51,105,114,1.37,1.368421052631579
91101,20460,33.7,9926,10534,10869,1.86,1.882417885730058
91103,27480,35.0,13481,13999,8492,3.11,3.235986811116345
91104,36751,38.2,17874,18877,12922,2.8,2.8440643863179074
91105,11254,49.0,5432,5822,5213,2.07,2.1588336850182235
91106,24229,34.6,11993,12236,10723,2.17,2.2595355777301127
91107,32940,41.2,15940,17000,13028,2.51,2.5284003684372123
91108,13361,45.4,6410,6951,4415,3.01,3.0262740656851643
91201,22781,40.4,11123,11658,8150,2.78,2.7952147239263803
91202,22830,41.7,10805,12025,8879,2.56,2.571235499493186
91203,13220,38.9,6279,6941,5044,2.62,2.620935765265662
91204,16032,38.1,7699,8333,5639,2.76,2.843057279659514
91205,37810,39.1,18084,19726,14089,2.67,2.683653914401306
91206,33065,42.6,15544,17521,13261,2.48,2.493401704245532
91207,10506,45.5,4924,5582,4097,2.56,2.5643153526970957
91208,16245,43.6,7756,8489,6106,2.66,2.66049787094661
91210,328,33.9,162,166,178,1.84,1.8426966292134832
91214,30356,42.5,14642,15714,10551,2.87,2.877073263197801
91301,25488,42.7,12511,12977,9208,2.76,2.7680278019113813
91302,25709,42.4,12487,13222,9303,2.76,2.763517145006987
91303,26855,31.1,13907,12948,8697,3.08,3.0878463838105095
91304,50231,35.9,24827,25404,16532,3.0,3.038410355673845
91306,45061,35.4,22679,22382,13635,3.28,3.3048038137147047
91307,24474,43.4,11939,12535,8315,2.91,2.943355381840048
91311,36557,42.7,17838,18719,13425,2.66,2.723054003724395
91316,26898,42.1,12717,14181,11911,2.26,2.258248677692889
91321,34882,33.3,17402,17480,11215,3.04,3.1102987070887202
91324,27669,36.5,13545,14124,9289,2.95,2.978684465496824
91325,32417,35.4,15819,16598,11825,2.72,2.741395348837209
91326,33708,42.7,16394,17314,11770,2.86,2.863891248937978
91330,2702,19.6,1103,1599,2,2.5,1351.0
91331,103689,29.5,52358,51331,22465,4.6,4.615579790785667
91335,74363,35.5,36596,37767,22855,3.21,3.2536862830890394
91340,34188,30.1,17130,17058,8176,4.17,4.181506849315069
91342,91725,31.9,45786,45939,23543,3.83,3.8960625238924522
91343,60254,32.3,30145,30109,16802,3.55,3.5861206999166764
91344,51747,41.0,25212,26535,16872,3.03,3.0670341394025606
91345,18496,35.7,9110,9386,5192,3.52,3.5624036979969183
91350,33348,36.4,16270,17078,10991,3.01,3.034118824492767
91351,32362,33.9,16086,16276,10036,3.22,3.22459147070546
91352,47807,32.1,23980,23827,11985,3.95,3.9889027951606173
91354,28722,36.4,14046,14676,9522,3.01,3.0163831127914302
91355,32605,38.8,15773,16832,12772,2.51,2.5528499843407455
91356,29458,41.7,14216,15242,11686,2.5,2.5207941126133835
91361,20438,47.6,9854,10584,8374,2.43,2.440649629806544
91362,36045,42.6,17562,18483,13563,2.65,2.657597876575979
91364,25851,44.0,12739,13112,10409,2.47,2.4835238735709484
91367,39499,41.0,19171,20328,16697,2.35,2.3656345451278673
